Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),2013-09-11,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-11,Kg,38.0,42.0,40.0
Potato Red,2013-09-11,Kg,31.0,32.0,31.5
Potato White,2013-09-11,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-11,Kg,80.0,85.0,82.5
Onion Green,2013-09-11,Kg,50.0,55.0,52.5
Tomato Big(Nepali),2013-09-12,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-12,Kg,36.0,42.0,39.0
Potato Red,2013-09-12,Kg,30.0,32.0,31.0
Potato White,2013-09-12,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-09-12,Kg,85.0,90.0,87.5
Onion Green,2013-09-12,Kg,50.0,55.0,52.5
Tomato Big(Nepali),2013-09-13,Kg,32.0,36.0,34.0
Tomato Small(Local),2013-09-13,Kg,35.0,40.0,37.5
Potato Red,2013-09-13,Kg,30.0,31.0,30.5
Potato White,2013-09-13,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-09-13,Kg,85.0,90.0,87.5
Onion Green,2013-09-13,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-09-15,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-09-15,Kg,35.0,40.0,37.5
Potato Red,2013-09-15,Kg,31.0,32.0,31.5
Potato White,2013-09-15,Kg,29.0,30.0,29.5
Onion Dry (Indian),2013-09-15,Kg,95.0,100.0,97.5
Onion Green,2013-09-15,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-09-16,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-09-16,Kg,32.0,38.0,35.0
Potato Red,2013-09-16,Kg,31.0,32.0,31.5
Potato White,2013-09-16,Kg,28.0,29.0,28.5
Onion Dry (Indian),2013-09-16,Kg,95.0,97.0,96.0
Onion Green,2013-09-16,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-09-17,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-09-17,Kg,35.0,40.0,37.5
Potato Red,2013-09-17,Kg,31.0,32.0,31.5
Potato White,2013-09-17,Kg,25.0,27.0,26.0
Onion Dry (Indian),2013-09-17,Kg,100.0,105.0,102.5
Onion Green,2013-09-17,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-09-19,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-19,Kg,35.0,40.0,37.5
Potato Red,2013-09-19,Kg,31.0,32.0,31.5
Potato White,2013-09-19,Kg,28.0,29.0,28.5
Onion Dry (Indian),2013-09-19,Kg,100.0,105.0,102.5
Onion Green,2013-09-19,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-09-20,Kg,38.0,40.0,39.0
Tomato Small(Local),2013-09-20,Kg,35.0,40.0,37.5
Potato Red,2013-09-20,Kg,30.0,31.0,30.5
Potato White,2013-09-20,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-20,Kg,100.0,105.0,102.5
